committee_id,no_of_members,no_of_posts,no_of_events,followers,tags
197,14,24,14,26,"sports, science, literature"
198,15,12,6,32,"science, literature"
199,13,10,16,19,"sports, science"
200,14,27,10,34,"science, literature"
201,12,14,19,14,sports
202,11,19,16,46,"science, literature"
203,14,24,5,30,literature
204,12,27,10,39,"sports, science, literature"
205,11,29,8,45,"science, literature"
206,10,23,13,36,"sports, science"
207,15,10,12,23,literature
208,14,20,14,26,"sports, science, literature"
209,11,29,15,22,"science, literature"
210,13,10,18,21,"sports, science"
211,14,15,18,32,science
212,11,17,8,23,"science, literature"
213,10,10,9,30,"science, literature"
214,14,27,14,36,sports
215,10,16,5,13,sports
216,12,13,5,10,science
217,15,25,18,22,science
218,13,13,11,43,"sports, literature"
219,11,26,5,21,"science, literature"
220,12,26,12,26,"sports, literature"
221,10,22,20,20,literature
222,14,23,20,29,"sports, science"
223,13,27,10,23,"sports, science, literature"
224,15,16,5,50,science
225,13,24,17,23,"science, literature"
226,12,11,11,48,science
227,12,25,9,10,"science, literature"
228,15,26,5,13,science
229,15,17,10,49,"sports, science, literature"
230,12,16,6,14,sports
231,11,21,15,50,"sports, science, literature"
232,14,28,18,22,"science, literature"
233,13,22,8,28,sports
234,11,22,16,32,"science, literature"
235,10,21,11,19,sports
236,13,11,8,10,literature
237,11,23,10,41,science
238,14,16,13,35,"sports, science, literature"
239,14,29,14,13,literature
240,10,29,15,30,science
241,10,29,12,13,science
242,11,30,19,40,literature
243,12,18,14,49,literature
244,15,16,8,36,"sports, science"
245,15,16,14,37,science
246,15,20,14,34,"sports, literature"
247,15,18,19,26,"sports, science, literature"
248,13,30,14,15,sports
249,11,12,5,16,"sports, literature"
250,10,24,6,14,"sports, literature"
251,13,14,18,13,science
252,14,19,7,24,science
253,11,15,12,48,"sports, science, literature"
254,14,20,13,26,literature
255,10,29,5,42,sports
256,13,13,5,26,literature
257,10,29,7,24,science
258,11,10,11,18,"science, literature"
259,10,17,13,23,"sports, science"
260,11,14,14,20,"sports, science, literature"
261,11,11,17,45,literature
262,11,26,12,30,"sports, science, literature"
263,14,25,14,29,"sports, literature"
264,13,14,5,13,"science, literature"
265,11,30,11,50,"sports, science, literature"
266,15,15,18,26,literature
267,12,24,7,38,literature
268,13,12,13,32,"sports, science"
269,10,19,14,41,sports
270,13,19,5,29,"science, literature"
271,11,30,17,25,"sports, science, literature"
272,15,22,16,33,"science, literature"
273,10,26,11,14,"sports, literature"
274,13,25,13,17,"sports, science, literature"
275,14,25,17,26,"sports, science"
276,14,27,14,30,"sports, science"
277,12,27,9,36,science
278,11,15,5,48,"sports, science, literature"
279,14,16,16,48,"sports, science, literature"
280,12,12,7,21,"sports, literature"
281,15,18,6,47,literature
282,12,27,19,42,"science, literature"
283,11,24,16,35,"sports, literature"
284,11,12,12,21,sports
285,12,23,5,13,science
286,14,16,13,19,literature
287,12,24,14,26,science
288,13,23,7,13,"sports, literature"
289,10,29,16,48,science
290,13,21,6,39,sports
291,10,24,9,44,literature
292,10,18,7,36,sports
293,15,12,20,34,sports
294,13,14,8,28,science
295,11,23,18,42,"sports, science, literature"
296,14,17,9,15,sports
297,13,13,14,17,literature
298,15,12,19,14,"sports, science"
299,14,26,15,16,"sports, science, literature"
300,12,29,9,42,"sports, science"
301,15,15,9,50,literature
302,14,23,10,29,science
303,13,11,20,12,"sports, literature"
304,11,26,10,30,"science, literature"
305,13,26,15,20,"sports, literature"
306,14,17,13,38,"science, literature"
307,12,17,9,24,sports
308,12,24,5,10,science
309,13,15,7,42,science
310,10,29,20,50,"sports, literature"
311,11,20,11,15,science
312,10,14,14,35,"sports, science"
313,11,18,8,25,literature
314,13,27,6,24,science
315,13,17,12,18,science
316,14,12,13,14,"sports, literature"
317,12,11,16,49,sports
318,10,29,13,28,"sports, science"
319,12,25,18,38,literature
320,13,11,15,46,"sports, science, literature"
321,14,24,17,38,"sports, literature"
322,15,24,13,31,science
323,10,15,19,30,"sports, science, literature"
324,12,30,6,35,sports
325,15,13,18,44,science
326,13,10,20,41,science
327,12,27,17,12,science
328,10,19,9,38,"sports, science, literature"
329,15,28,5,12,"sports, science, literature"
330,15,13,8,12,literature
331,10,10,9,39,science
332,15,18,5,11,literature
333,13,17,15,32,"sports, literature"
334,10,18,19,49,science
335,11,14,10,30,science
336,15,18,14,15,sports
337,10,15,13,37,science
338,15,23,15,29,"science, literature"
339,14,16,10,19,science
340,14,12,20,11,science
341,10,26,9,24,science
342,10,29,18,17,science
343,10,26,7,39,literature
344,12,11,10,21,"science, literature"
345,11,20,11,36,"sports, literature"
346,10,26,18,22,sports
347,14,19,5,44,"science, literature"
348,12,23,18,16,"sports, science, literature"
349,10,10,7,23,"science, literature"
350,12,10,8,47,"sports, science"
351,12,23,20,33,"science, literature"
352,10,15,18,16,literature
353,12,14,14,13,literature
354,15,28,5,19,"science, literature"
355,10,20,12,30,"sports, science, literature"
356,13,20,11,27,sports
357,10,15,7,30,"sports, science"
358,13,15,16,41,"science, literature"
359,15,23,12,11,science
360,10,25,10,20,"sports, science"
361,15,30,10,37,sports
362,15,18,16,22,"sports, science, literature"
363,13,10,18,42,sports
364,12,30,18,42,science
365,12,25,12,29,"science, literature"
366,13,17,19,11,"sports, literature"
367,13,15,14,15,science
368,13,20,16,30,"sports, science"
369,15,30,17,48,"science, literature"
370,11,30,13,11,science
371,14,22,18,37,science
372,14,11,14,39,"sports, science, literature"
373,14,23,17,49,"science, literature"
374,15,28,13,15,science
375,14,25,13,13,"sports, science"
376,15,24,14,15,science
377,12,23,20,22,science
378,12,18,15,42,literature
379,13,24,6,22,science
380,12,19,16,47,"sports, literature"
381,13,20,5,46,literature
382,10,11,10,50,"sports, science, literature"
383,15,20,9,22,science
384,12,11,10,34,"sports, science"
385,11,14,12,27,science
386,13,28,19,10,literature
387,15,18,18,10,"science, literature"
388,10,26,10,18,"science, literature"
389,15,10,14,47,"sports, literature"
390,12,11,11,47,science
391,11,14,17,44,science
392,13,28,13,40,science
393,14,29,8,32,sports
394,10,29,13,44,science
395,14,27,12,43,literature
396,15,19,6,12,"sports, science"
397,11,22,17,34,literature
398,10,10,5,32,"sports, literature"
399,11,29,19,48,literature
400,13,30,10,33,"sports, science"
401,10,21,14,34,science
402,14,27,5,50,sports
403,13,11,9,49,sports
404,15,25,6,16,science
405,11,27,12,31,"sports, science"
406,13,22,20,44,"sports, literature"
407,12,26,11,34,science
408,13,15,16,35,literature
409,10,20,5,29,"science, literature"
410,11,16,20,33,"science, literature"
411,11,13,6,28,literature
412,14,17,14,16,science
413,14,26,16,50,"science, literature"
414,14,27,9,20,"sports, literature"
415,11,24,6,45,"sports, literature"
416,11,24,19,37,"sports, science, literature"
417,15,11,8,43,"sports, science, literature"
418,12,20,10,40,science
419,11,10,15,29,literature
420,11,23,9,35,"science, literature"
421,11,30,5,25,"science, literature"
422,15,16,10,36,"sports, literature"
423,11,14,6,50,"sports, literature"
424,10,30,10,19,"sports, science, literature"
425,10,11,15,46,"science, literature"
426,11,13,18,18,science
427,15,21,15,22,science
428,10,22,16,21,science
429,14,14,10,11,literature
430,15,21,7,19,literature
431,15,21,15,26,science
432,11,30,14,15,"sports, science, literature"
433,14,10,15,39,"sports, science, literature"
434,15,14,20,37,science
435,11,24,9,11,"sports, science, literature"
436,10,14,10,34,"sports, science"
437,14,18,17,26,"sports, literature"
438,13,16,16,18,"sports, science"
439,13,14,8,25,sports
440,14,22,19,12,"sports, science"
441,15,13,10,31,literature
442,14,10,20,15,"sports, literature"
443,14,18,7,48,literature
444,11,26,11,25,"sports, science"
445,12,14,20,33,science
446,15,21,7,20,"science, literature"
447,14,28,17,21,"sports, science, literature"
448,10,18,9,49,science
449,14,14,5,36,sports
450,12,28,15,34,"science, literature"
451,12,16,7,48,science
452,10,24,19,22,"science, literature"
453,12,20,6,43,"science, literature"
454,10,15,9,29,sports
455,11,22,11,47,"sports, science, literature"
456,12,19,10,35,"sports, literature"
457,15,18,13,27,"science, literature"
458,10,16,15,18,sports
459,12,11,17,49,science
460,10,23,17,14,"sports, literature"
461,15,26,19,32,science
462,11,13,13,17,science
463,11,14,6,36,"science, literature"
464,12,10,8,45,"science, literature"
465,12,27,11,10,science
466,14,21,17,25,"science, literature"
467,15,11,5,19,"sports, science"
468,12,24,13,36,"science, literature"
469,14,25,18,35,science
470,10,13,8,40,science
471,10,26,15,16,sports
472,15,11,9,13,"sports, literature"
473,10,23,16,40,science
474,14,12,17,14,"sports, science"
475,15,24,7,47,"sports, science"
476,10,24,20,23,"sports, science, literature"
477,12,17,18,20,"sports, science"
478,12,11,20,32,"science, literature"
479,15,14,7,34,"sports, science, literature"
480,13,24,17,15,"sports, literature"
481,10,25,19,49,"sports, literature"
482,12,29,16,33,sports
483,15,20,18,39,"sports, science"
484,11,21,14,50,"sports, science, literature"
485,12,21,9,46,"sports, science"
486,11,25,6,29,science
487,11,18,7,21,"science, literature"
488,10,17,11,46,literature
489,13,29,12,50,science
490,11,13,11,49,"sports, science, literature"
491,10,25,11,18,"sports, science, literature"
492,10,25,6,43,"sports, science, literature"
493,10,29,17,32,science
494,14,16,15,31,"science, literature"
495,11,27,7,43,"sports, literature"
496,12,26,18,42,sports
497,13,12,14,47,science
498,15,24,14,38,"sports, science, literature"
499,12,14,13,43,"science, literature"
500,11,19,9,45,"sports, science"
501,14,30,10,39,literature
502,12,27,15,36,"sports, science, literature"
503,15,14,8,34,"sports, science"
504,10,14,15,19,science
505,10,30,5,26,"sports, science, literature"
506,15,23,5,47,science
507,15,24,15,20,"sports, science"
508,13,19,19,44,science
509,12,21,7,47,"science, literature"
510,15,23,13,11,science
511,13,24,5,38,"sports, literature"
512,11,16,10,39,science
513,15,10,12,29,sports
514,13,11,14,37,sports
515,12,10,10,25,literature
516,10,12,9,28,"sports, science"
517,13,29,16,14,science
518,15,22,18,41,"sports, science, literature"
519,14,19,6,10,"sports, science"
520,13,11,20,19,science
521,10,21,15,13,science
522,14,11,7,15,"sports, science, literature"
523,14,28,10,46,science
524,15,19,5,37,science
525,12,30,19,47,"sports, science"
526,15,15,7,21,"sports, science, literature"
527,12,15,7,34,"sports, science"
528,10,24,15,45,"sports, science"
529,10,29,5,15,"science, literature"
530,13,13,18,50,"sports, literature"
531,11,18,8,27,sports
532,13,27,16,30,science
533,12,11,17,24,science
534,12,23,17,10,science
535,10,11,16,34,"sports, literature"
536,10,10,15,11,"sports, literature"
537,10,20,6,50,science
538,15,20,6,35,science
539,13,14,14,43,literature
540,12,18,20,12,"science, literature"
541,11,15,5,16,science
542,11,14,19,29,sports
543,10,30,9,34,"science, literature"
544,14,26,15,33,science
545,10,10,5,32,literature
546,14,29,15,47,"sports, science, literature"
547,14,25,19,43,"sports, science"
548,15,18,19,17,"sports, literature"
549,12,29,17,25,"sports, science, literature"
550,12,12,15,28,science
551,14,21,14,17,science
552,13,27,10,40,science
553,11,24,8,43,"sports, literature"
554,11,13,12,32,"science, literature"
555,11,10,12,22,literature
556,15,27,8,39,"science, literature"
557,12,29,19,32,sports
558,10,16,12,38,science
559,10,22,15,21,sports
560,13,18,11,48,"science, literature"
561,10,10,20,23,literature
562,15,28,9,25,"sports, science"
563,10,24,5,43,"science, literature"
564,15,18,10,33,"sports, science"
565,14,22,19,34,"science, literature"
566,15,22,11,19,"sports, science, literature"
567,13,12,19,11,"sports, science, literature"
568,14,17,14,15,science
569,15,16,11,41,"sports, science, literature"
570,11,24,10,19,literature
571,15,13,19,12,science
572,12,12,5,38,"sports, literature"
573,15,15,13,27,sports
574,14,12,12,24,science
575,13,20,14,13,"science, literature"
576,13,16,17,21,literature
577,14,17,10,34,science
578,14,26,14,50,science
579,11,14,19,37,science
580,14,14,5,43,"sports, science"
581,12,25,10,41,sports
582,11,30,5,41,"sports, literature"
583,14,19,18,29,"science, literature"
584,12,10,7,21,"sports, science, literature"
585,14,19,16,11,science
586,15,28,13,47,"sports, science, literature"
587,11,24,11,23,"sports, science"
588,15,23,11,39,"sports, science, literature"
589,12,15,14,40,science
590,12,26,11,32,science
591,15,25,16,41,literature
592,15,26,8,41,literature
593,11,26,6,12,"sports, science"
594,13,28,10,40,"sports, science, literature"
595,15,14,11,50,"science, literature"
596,14,20,14,14,science
597,11,19,13,20,"science, literature"
598,14,10,14,48,sports
599,15,22,17,40,"sports, literature"
600,11,24,8,43,"science, literature"
601,15,28,13,29,"science, literature"
602,12,10,6,48,science
603,10,12,12,49,"sports, science, literature"
604,10,21,18,34,"sports, literature"
605,15,23,17,14,"science, literature"
606,10,22,12,49,"sports, science, literature"
607,11,18,8,21,"science, literature"
608,14,20,5,48,science
609,15,29,15,36,"science, literature"
610,15,30,20,43,science
611,11,15,11,13,science
612,14,18,20,18,"sports, science"
613,15,23,8,27,"sports, science"
614,13,15,15,26,"sports, literature"
615,12,25,18,38,"sports, science, literature"
616,14,18,14,26,literature
617,10,10,17,39,literature
618,10,24,8,43,"sports, literature"
619,14,16,19,50,"sports, science, literature"
620,14,25,16,27,science
621,13,21,13,11,science
622,12,14,6,46,science
623,14,15,14,48,literature
624,11,26,10,31,"sports, science, literature"
625,15,20,6,49,literature
626,11,17,5,13,"sports, literature"
627,12,30,15,25,sports
628,13,11,18,44,"sports, science"
629,15,12,9,27,sports
630,15,14,14,44,"sports, science, literature"
631,11,28,17,38,"sports, science"
632,13,28,7,33,"sports, science, literature"
633,15,16,5,29,literature
634,11,27,7,44,science
635,15,23,8,10,"sports, science"
636,10,30,18,42,science
637,13,14,9,47,literature
638,10,13,9,34,science
639,13,15,11,41,"sports, science"
640,10,25,13,17,"sports, literature"
641,10,28,17,14,"science, literature"
642,12,18,19,35,"sports, science"
643,12,14,12,30,literature
644,10,14,13,33,literature
645,11,12,13,47,literature
646,15,29,9,16,"science, literature"
647,12,16,17,31,"science, literature"
648,15,21,11,43,"sports, science"
649,12,17,9,33,"sports, literature"
650,10,11,16,15,sports
651,14,17,15,14,"sports, science, literature"
652,10,26,6,11,"sports, science, literature"
653,14,19,20,21,"sports, science"
654,15,19,8,49,science
655,12,21,8,24,"science, literature"
656,13,14,10,26,science
657,13,20,17,21,science
658,11,29,6,14,science
659,15,30,16,29,"science, literature"
660,14,23,18,42,"science, literature"
661,12,23,9,28,"science, literature"
662,13,16,16,50,"sports, science"
663,10,18,7,25,literature
664,15,19,19,16,sports
665,14,15,13,46,"sports, science"
666,10,19,9,44,sports
667,13,16,18,35,"sports, science, literature"
668,14,15,11,24,"sports, science, literature"
669,13,12,11,37,science
670,13,21,11,20,science
671,10,22,7,43,sports
672,10,25,20,28,literature
673,11,16,14,47,science
674,10,22,7,13,"science, literature"
675,13,19,7,45,science
676,12,10,20,44,science
677,12,15,15,35,science
678,11,15,13,42,"sports, science"
679,10,26,5,40,literature
680,10,25,6,47,"sports, literature"
681,15,28,12,12,"sports, science"
682,11,28,11,25,"science, literature"
683,15,28,10,24,"sports, science"
684,11,17,6,48,sports
685,14,14,7,49,sports
686,12,13,9,25,"sports, science"
687,15,14,11,15,science
688,10,25,11,28,"science, literature"
689,13,11,16,31,"sports, literature"
690,11,18,18,13,"science, literature"
691,14,16,20,33,literature
692,15,21,5,29,literature
693,15,23,19,48,sports
694,11,24,15,25,"sports, science"
695,14,28,7,33,sports
696,13,29,7,43,literature
697,13,23,11,18,science
698,10,11,7,43,science
699,10,22,9,40,"science, literature"
700,15,20,18,49,science
701,15,29,7,15,"sports, science"
702,14,19,9,21,"sports, literature"
703,11,12,16,45,"sports, science, literature"
704,10,12,16,29,science
705,14,29,15,47,sports
706,10,29,19,43,science
707,13,18,7,11,"sports, science"
708,14,30,5,26,science
709,13,23,13,30,"sports, science"
710,13,24,13,15,literature
711,15,14,15,24,"sports, science, literature"
712,11,29,16,33,science
713,15,23,14,24,sports
714,14,25,13,34,literature
715,15,13,8,26,"science, literature"
716,11,26,17,37,"sports, literature"
717,10,26,13,36,science
718,14,13,11,33,science
719,10,19,17,10,"sports, science"
720,14,18,8,42,"sports, science, literature"
721,12,19,6,28,science
722,15,16,17,48,"sports, literature"
723,12,25,12,42,"sports, science"
724,14,18,14,15,"sports, science, literature"
725,12,26,9,19,sports
726,10,14,17,32,science
727,13,23,15,21,science
728,13,23,5,35,"science, literature"
729,10,19,18,50,"sports, science"
730,13,27,11,11,sports
731,10,17,19,35,"science, literature"
732,10,28,10,24,"sports, science"
733,13,18,11,19,"sports, literature"
734,14,13,18,35,literature
735,11,22,10,23,science
736,10,19,18,13,science
737,12,18,10,23,science
738,10,30,18,15,"sports, science"
739,10,23,15,29,science
740,12,19,11,50,"sports, science"
741,11,10,13,14,science
742,12,10,11,30,"sports, science, literature"
743,15,17,20,23,"science, literature"
744,12,15,7,20,"science, literature"
745,10,27,12,49,"sports, science, literature"
746,12,25,19,25,"sports, literature"
747,14,25,12,25,"sports, science, literature"
748,12,10,19,17,"science, literature"
749,13,10,10,50,science
750,15,27,7,31,literature
751,13,12,17,41,science
752,15,14,10,48,"science, literature"
753,10,25,15,18,"sports, literature"
754,11,13,18,33,"science, literature"
755,13,19,7,25,"sports, literature"
756,11,12,7,21,sports
757,15,14,15,46,"sports, science, literature"
758,13,14,8,40,science
759,11,16,19,43,"sports, literature"
760,10,19,19,19,science
761,11,17,11,49,"sports, literature"
762,14,16,10,38,science
763,11,13,11,11,sports
764,11,23,13,21,"sports, science"
765,10,15,17,27,"sports, science"
766,10,26,20,49,science
767,12,25,13,30,"sports, literature"
768,10,20,18,16,"sports, science, literature"
769,11,14,17,37,sports
770,15,14,7,47,science
771,13,15,8,15,"sports, science"
772,13,14,10,43,literature
773,13,29,16,43,"sports, literature"
774,13,26,7,21,"sports, science"
775,13,26,16,22,"sports, science"
776,15,15,10,24,science
777,10,15,15,16,"sports, literature"
778,13,20,20,15,"sports, science"
779,15,17,20,39,"sports, science, literature"
780,11,10,14,23,sports
781,12,19,20,30,"sports, science"
782,11,24,17,34,science
783,13,26,16,45,"sports, literature"
784,13,26,19,29,"sports, literature"
785,10,20,6,48,sports
786,13,24,14,29,"sports, science, literature"
787,15,12,18,19,science
788,13,20,10,29,"science, literature"
789,10,19,6,39,"sports, science, literature"
790,10,14,11,50,sports
791,10,24,14,25,literature
792,11,13,9,45,science
793,12,18,11,19,sports
794,14,12,7,11,sports
795,12,18,12,30,"sports, science"
796,13,21,19,33,science
797,15,25,14,30,"sports, science, literature"
798,12,15,6,26,"sports, literature"
799,14,21,13,49,"science, literature"
800,11,25,7,49,science
801,10,23,13,42,literature
802,11,10,7,48,"sports, literature"
803,13,19,6,34,"science, literature"
804,10,12,16,13,sports
805,13,24,18,22,"science, literature"
806,14,23,17,44,science
807,12,17,18,39,literature
808,12,28,15,39,science
809,10,12,16,50,"sports, science, literature"
810,10,21,5,34,literature
811,14,24,15,10,sports
812,13,29,14,30,"sports, science, literature"
813,13,20,13,14,science
814,15,17,14,41,"sports, science, literature"
815,10,30,13,22,"sports, literature"
816,12,27,12,47,literature
817,12,18,16,23,sports
818,10,17,17,31,"sports, science"
819,11,29,16,41,science
820,11,28,8,27,"sports, science"
821,13,18,11,39,"sports, literature"
822,14,15,16,39,"sports, science"
823,11,12,5,39,"science, literature"
824,14,24,5,30,literature
825,15,15,8,45,"sports, literature"
826,15,24,5,20,"science, literature"
827,15,14,12,50,"sports, science"
828,12,16,15,31,science
829,14,14,11,25,sports
830,14,13,15,18,sports
831,12,20,13,49,"sports, science"
832,10,30,12,32,"sports, literature"
833,13,16,5,18,sports
834,10,25,19,20,sports
835,10,18,18,30,science
836,10,10,18,33,"sports, science"
837,15,18,11,22,"science, literature"
838,12,17,14,34,science
839,11,15,9,11,"sports, science"
840,11,19,19,31,science
841,12,18,14,26,science
842,12,21,16,35,"science, literature"
843,13,28,15,21,"science, literature"
844,10,10,18,40,science
845,11,16,18,34,sports
846,14,24,17,14,"sports, science, literature"
847,11,29,8,42,"science, literature"
848,10,11,5,45,science
849,11,13,19,36,"sports, science"
850,13,16,11,14,"science, literature"
851,10,18,16,42,science
852,12,20,5,19,"sports, science"
853,13,28,14,33,"sports, science, literature"
854,15,18,14,28,"sports, science, literature"
855,10,21,5,11,"sports, science"
856,15,26,16,21,science
857,11,27,18,32,science
858,11,18,10,14,sports
859,11,26,12,38,"sports, literature"
860,15,20,20,29,literature
861,13,26,6,24,literature
862,10,15,18,46,"sports, literature"
863,14,25,19,18,sports
864,10,18,15,36,"sports, literature"
865,12,16,17,41,"science, literature"
866,12,14,6,49,"sports, science"
867,11,23,19,19,"science, literature"
868,14,29,11,33,science
869,12,29,7,32,"sports, literature"
870,10,29,19,27,science
871,12,26,12,28,"sports, science, literature"
872,15,12,11,21,"science, literature"
873,15,30,11,38,"science, literature"
874,10,15,19,18,sports
875,14,20,18,27,science
876,13,19,8,47,science
877,14,12,12,25,"sports, science, literature"
878,10,14,20,25,"sports, science"
879,13,16,7,11,sports
880,14,14,16,27,science
881,13,25,17,48,literature
882,10,15,13,31,literature
883,15,10,19,48,science
884,14,13,6,48,sports
885,10,10,5,18,"science, literature"
886,10,17,14,43,sports
887,15,19,10,16,literature
888,12,14,10,18,"science, literature"
889,11,23,17,40,literature
890,11,12,18,27,"sports, science"
891,15,28,8,17,sports
892,14,22,20,36,science
893,15,17,10,31,"sports, science"
894,15,24,17,30,"science, literature"
895,13,20,8,45,"sports, science"
896,14,29,11,35,"science, literature"
897,10,19,12,23,science
898,11,18,14,15,"sports, literature"
899,13,30,17,41,science
900,14,16,13,14,sports
901,12,27,10,14,"sports, literature"
902,13,25,16,21,"sports, literature"
903,13,27,11,35,"sports, literature"
904,11,11,8,21,sports
905,10,16,12,50,sports
906,15,18,12,42,sports
907,12,27,17,49,"science, literature"
908,13,24,9,16,sports
909,12,23,10,34,"sports, literature"
910,15,24,18,13,"sports, science, literature"
911,14,16,6,29,"sports, science, literature"
912,10,24,19,42,"sports, science"
913,14,24,18,28,literature
