,committee_id,no_of_members,no_of_posts,no_of_events,followers,tags,weekly_post_rate,weekly_event_rate,predicted_score
57,58.0,11,28,17,37,"sports, science, literature",7.0,4.25,25.746396637324207
58,59.0,11,15,8,10,"science, literature",3.75,2.0,12.364141581250879
59,60.0,11,11,19,31,"sports, literature",2.75,4.75,18.509344747909196
60,61.0,11,15,17,43,"science, literature",3.75,4.25,23.919915402505733
61,62.0,10,29,15,10,science,7.25,3.75,16.593790372559837
62,63.0,12,12,5,47,sports,3.0,1.25,24.414261947204185
63,64.0,11,10,5,49,"science, literature",2.5,1.25,24.51037633414952
64,65.0,11,17,14,37,"sports, science",4.25,3.5,22.423101158438595
65,66.0,15,30,16,22,science,7.5,4.0,21.098007714733022
66,67.0,13,11,9,31,literature,2.75,2.25,18.509344747909196
67,68.0,13,18,14,24,science,4.5,3.5,18.172944393600527
68,69.0,13,24,8,30,"sports, science",6.0,2.0,22.086700804129926
69,70.0,10,10,20,22,"sports, science",2.5,5.0,15.055652298577366
70,71.0,11,21,5,32,"science, literature",5.25,1.25,21.880697420267477
71,72.0,15,29,19,31,science,7.25,4.75,23.94746462244929
72,73.0,15,15,8,20,"sports, science, literature",3.75,2.0,15.86589122405538
73,74.0,11,12,19,12,"science, literature",3.0,4.75,12.15813819738843
74,75.0,10,16,12,42,"science, literature",4.0,3.0,23.871858209033064
75,76.0,15,17,5,21,literature,4.25,1.25,16.820301729951396
76,77.0,13,20,5,28,"sports, literature",5.0,1.25,20.177879792337894
77,78.0,11,18,18,24,science,4.5,4.5,18.172944393600527
78,79.0,12,25,17,20,science,6.25,4.25,18.887068932133207
79,80.0,13,15,13,29,"science, literature",3.75,3.25,19.01746590257943
80,81.0,11,26,5,14,"sports, science, literature",6.5,1.25,17.08813691725829
81,82.0,10,17,6,44,sports,4.25,1.5,24.874325908401747
82,83.0,15,30,16,33,"science, literature",7.5,4.0,24.949932321817972
83,84.0,13,11,14,25,"sports, science, literature",2.75,3.5,16.4082949622265
84,85.0,13,11,20,14,science,2.75,5.0,12.556370355141548
85,86.0,15,17,15,33,sports,4.25,3.75,21.022401301316794
86,87.0,15,16,16,29,science,4.0,4.0,19.319583673387214
87,88.0,14,28,8,32,"sports, science, literature",7.0,2.0,23.995521815921958
88,89.0,13,11,10,48,science,2.75,2.5,24.46231914067685
89,90.0,10,26,13,28,"science, literature",6.5,3.25,21.99058641718459
90,91.0,14,25,19,45,"science, literature",6.25,4.75,27.64144303914446
91,92.0,12,22,11,47,sports,5.5,2.75,27.43543965528201
92,93.0,10,23,14,25,"sports, science",5.75,3.5,20.033708211919894
93,94.0,15,14,16,35,"sports, science",3.5,4.0,20.81639791745435
94,95.0,12,19,6,42,"science, literature",4.75,1.5,24.778211521456413
95,96.0,15,28,8,15,"science, literature",7.0,2.0,18.042547423154303
96,97.0,13,10,6,31,science,2.5,1.5,18.207226977101413
97,98.0,13,13,8,19,sports,3.25,2.0,14.911480718159364
98,99.0,15,25,10,22,"sports, literature",6.25,2.5,19.587418860694108
99,100.0,14,26,12,48,science,6.5,3.0,28.99408570279359
100,101.0,13,15,11,35,"sports, science",3.75,2.75,21.118515688262132
101,102.0,10,14,13,10,science,3.5,3.25,12.062023810443096
102,103.0,15,13,20,21,science,3.25,5.0,15.611830646720264
103,104.0,10,30,14,18,sports,7.5,3.5,19.69730785761122
104,105.0,11,17,12,46,"sports, literature",4.25,3.0,25.574675836962644
105,106.0,12,13,16,32,"sports, science, literature",3.25,4.0,19.463755253805214
106,107.0,11,17,5,44,science,4.25,1.25,24.874325908401747
107,108.0,10,13,14,24,"science, literature",3.25,3.5,16.662355539561613
108,109.0,10,21,14,25,sports,5.25,3.5,19.429472670304328
109,110.0,10,23,12,50,"sports, literature",5.75,3.0,28.788082318931142
110,111.0,15,20,14,19,science,5.0,3.5,17.02630511381384
111,112.0,14,23,5,43,"sports, science",5.75,1.25,26.336857568967993
112,113.0,14,30,14,30,"sports, literature",7.5,3.5,23.899407428976623
113,114.0,15,17,10,23,sports,4.25,2.5,17.520651658512293
114,115.0,15,25,10,46,literature,6.25,2.5,27.991618003424907
115,116.0,13,30,15,14,science,7.5,3.75,18.29660800048942
116,117.0,12,28,11,37,sports,7.0,2.75,25.746396637324207
117,118.0,10,13,12,37,literature,3.25,3.0,21.214630075207467
118,119.0,12,22,13,34,science,5.5,3.25,22.88316511963616
119,120.0,14,10,19,14,"sports, literature",2.5,4.75,12.254252584333765
120,121.0,10,30,17,27,sports,7.5,4.25,22.84888253613527
121,122.0,14,22,10,20,"sports, literature",5.5,2.5,17.98071561970986
122,123.0,10,28,12,50,"sports, literature",7.0,3.0,30.298671172970057
123,124.0,11,19,9,23,"sports, science",4.75,2.25,18.12488720012786
124,125.0,14,22,6,41,science,5.5,1.5,25.33438986959931
125,126.0,11,12,17,27,sports,3.0,4.25,17.41076266159518
126,127.0,14,29,13,23,science,7.25,3.25,21.146064908205688
127,128.0,12,27,10,28,"science, literature",6.75,2.5,22.292704187992374
128,129.0,10,24,17,28,"sports, literature",6.0,4.25,21.386350875569025
129,130.0,12,16,17,26,literature,4.0,4.25,18.269058780545862
130,131.0,11,17,13,10,"sports, science, literature",4.25,3.25,12.968377122866444
131,132.0,15,20,9,38,literature,5.0,2.25,23.679629435142395
132,133.0,11,10,11,24,science,2.5,2.75,15.756002227138264
133,134.0,13,29,8,23,science,7.25,2.0,21.146064908205688
134,135.0,14,15,20,41,literature,3.75,5.0,23.219565473944833
135,136.0,13,14,12,32,"sports, science",3.5,3.0,19.765873024612997
136,137.0,15,17,17,26,literature,4.25,4.25,18.571176551353645
137,138.0,12,14,19,22,sports,3.5,4.75,16.264123381808496
138,139.0,14,25,10,23,science,6.25,2.5,19.937593824974556
139,140.0,12,27,8,46,literature,6.75,2.0,28.595853545040473
140,141.0,11,11,17,12,"sports, science, literature",2.75,4.25,11.856020426580647
141,142.0,14,11,6,36,"sports, science",2.75,1.5,20.26021956931145
142,143.0,13,13,6,37,"science, literature",3.25,1.5,21.214630075207467
143,144.0,14,28,9,21,literature,7.0,2.25,20.143597208837008
144,145.0,10,24,17,30,"sports, literature",6.0,4.25,22.086700804129926
145,146.0,14,25,17,44,literature,6.25,4.25,27.29126807486401
146,147.0,15,16,15,21,"science, literature",4.0,3.75,16.518183959143613
147,148.0,10,16,7,36,"sports, literature",4.0,1.75,21.770808423350363
148,149.0,12,25,7,46,sports,6.25,1.75,27.991618003424907
149,150.0,13,14,8,23,literature,3.5,2.0,16.614298346088944
150,151.0,11,12,10,18,science,3.0,2.5,14.259187983071131
151,152.0,15,14,17,34,literature,3.5,4.25,20.466222953173897
152,153.0,10,15,17,36,"science, literature",3.75,4.25,21.46869065254258
153,154.0,15,12,5,30,"sports, science, literature",3.0,1.25,18.46128755443653
154,155.0,12,22,14,12,science,5.5,3.5,15.179315905466257
155,156.0,10,14,20,12,"sports, literature",3.5,5.0,12.762373739003996
156,157.0,10,23,18,20,"science, literature",5.75,4.5,18.28283339051764
157,158.0,15,11,18,27,science,2.75,4.5,17.108644890787396
158,159.0,15,11,6,27,sports,2.75,1.5,17.108644890787396
159,160.0,15,19,11,16,literature,4.75,2.75,15.67366245016471
160,161.0,12,15,19,14,science,3.75,4.75,13.76484143837268
161,162.0,15,15,19,41,science,3.75,4.75,23.219565473944833
162,163.0,11,29,11,44,"sports, science",7.25,2.75,28.499739158095142
163,164.0,14,25,12,36,"sports, literature",6.25,3.0,24.48986836062041
164,165.0,14,18,18,18,science,4.5,4.5,16.071894607917827
165,166.0,10,15,15,16,"science, literature",3.75,3.75,14.46519136693358
166,167.0,13,29,19,40,science,7.25,4.75,27.09903930097334
167,168.0,13,15,17,13,sports,3.75,4.25,13.414666474092229
168,169.0,14,22,9,48,"science, literature",5.5,2.25,27.78561461956246
169,170.0,12,11,11,35,science,2.75,2.75,19.910044605030997
170,171.0,11,30,7,45,literature,7.5,1.75,29.152031893183374
171,172.0,11,19,9,15,"sports, literature",4.75,2.25,15.32348748588426
172,173.0,15,11,8,28,science,2.75,2.0,17.458819855067848
173,174.0,11,16,5,11,"sports, science",4.0,1.25,13.016434316339112
174,175.0,15,28,10,41,"sports, science",7.0,2.5,27.147096494446007
175,176.0,12,14,9,14,"sports, science",3.5,2.25,13.462723667564896
176,177.0,10,29,11,15,"science, literature",7.25,2.75,18.344665193962086
177,178.0,14,22,14,36,sports,5.5,3.5,23.58351504819706
178,179.0,13,29,20,30,literature,7.25,5.0,23.59728965816884
179,180.0,10,21,20,42,sports,5.25,5.0,25.38244706307198
180,181.0,11,17,18,14,"sports, science",4.25,4.5,14.369076979988243
181,182.0,12,17,8,18,"sports, literature",4.25,2.0,15.769776837110044
182,183.0,14,14,9,13,"sports, literature",3.5,2.25,13.112548703284446
183,184.0,12,22,8,20,"sports, science",5.5,2.0,17.98071561970986
184,185.0,14,17,20,16,sports,4.25,5.0,15.069426908549143
185,186.0,15,10,9,13,"sports, science, literature",2.5,2.25,11.904077620053314
186,187.0,12,28,19,37,sports,7.0,4.75,25.746396637324207
187,188.0,15,20,13,20,sports,5.0,3.25,17.376480078094293
188,189.0,13,19,13,17,science,4.75,3.25,16.02383741444516
189,190.0,11,29,13,14,"sports, science, literature",7.25,3.25,17.994490229681638
190,191.0,12,27,19,15,"sports, literature",6.75,4.75,17.74042965234652
191,192.0,10,22,7,35,"sports, science",5.5,1.75,23.23334008391661
192,193.0,13,17,6,36,"science, literature",4.25,1.5,22.072926194158146
193,194.0,12,27,18,40,sports,6.75,4.5,26.494803759357776
194,195.0,10,18,20,23,literature,4.5,5.0,17.822769429320076
195,196.0,13,15,10,36,science,3.75,2.5,21.46869065254258
196,197.0,14,24,14,26,"sports, science, literature",6.0,3.5,20.686000947008125
197,198.0,15,12,6,32,"science, literature",3.0,1.5,19.16163748299743
198,199.0,13,10,16,19,"sports, science",2.5,4.0,14.005127405736015
199,200.0,14,27,10,34,"science, literature",6.75,2.5,24.393753973675075
200,201.0,12,14,19,14,sports,3.5,4.75,13.462723667564896
201,202.0,11,19,16,46,"science, literature",4.75,4.0,26.17891137857821
202,203.0,14,24,5,30,literature,6.0,1.25,22.086700804129926
203,204.0,12,27,10,39,"sports, science, literature",6.75,2.5,26.144628795077324
204,205.0,11,29,8,45,"science, literature",7.25,2.0,28.84991412237559
205,206.0,10,23,13,36,"sports, science",5.75,3.25,23.885632819004844
206,207.0,15,10,12,23,literature,2.5,3.0,15.405827262857814
207,208.0,14,20,14,26,"sports, science, literature",5.0,3.5,19.477529863776994
208,209.0,11,29,15,22,"science, literature",7.25,3.75,20.79588994392524
209,210.0,13,10,18,21,"sports, science",2.5,4.5,14.705477334296916
210,211.0,14,15,18,32,science,3.75,4.5,20.06799079542078
211,212.0,11,17,8,23,"science, literature",4.25,2.0,17.520651658512293
212,213.0,10,10,9,30,"science, literature",2.5,2.25,17.857052012820965
213,214.0,14,27,14,36,sports,6.75,3.5,25.094103902235975
214,215.0,10,16,5,13,sports,4.0,1.25,13.716784244900012
215,216.0,12,13,5,10,science,3.25,1.25,11.759906039635313
216,217.0,15,25,18,22,science,6.25,4.5,19.587418860694108
217,218.0,13,13,11,43,"sports, literature",3.25,2.75,23.315679860890167
218,219.0,11,26,5,21,"science, literature",6.5,1.25,19.539361667221442
219,220.0,12,26,12,26,"sports, literature",6.5,3.0,21.29023648862369
220,221.0,10,22,20,20,literature,5.5,5.0,17.98071561970986
221,222.0,14,23,20,29,"sports, science",5.75,5.0,21.43440806904169
222,223.0,13,27,10,23,"sports, science, literature",6.75,2.5,20.54182936659012
223,224.0,15,16,5,50,science,4.0,1.25,26.673257923276665
224,225.0,13,24,17,23,"science, literature",6.0,4.25,19.635476054166773
225,226.0,12,11,11,48,science,2.75,2.75,24.46231914067685
226,227.0,12,25,9,10,"science, literature",6.25,2.25,15.385319289328706
227,228.0,15,26,5,13,science,6.5,1.25,16.73796195297784
228,229.0,15,17,10,49,"sports, science, literature",4.25,2.5,26.625200729803996
229,230.0,12,16,6,14,sports,4.0,1.5,14.06695920918046
230,231.0,11,21,15,50,"sports, science, literature",5.25,3.75,28.183846777315576
231,232.0,14,28,18,22,"science, literature",7.0,4.5,20.493772173117456
232,233.0,13,22,8,28,sports,5.5,2.0,20.78211533395346
233,234.0,11,22,16,32,"science, literature",5.5,4.0,22.18281519107526
234,235.0,10,21,11,19,sports,5.25,2.75,17.328422884621624
235,236.0,13,11,8,10,literature,2.75,2.0,11.155670498019747
236,237.0,11,23,10,41,science,5.75,2.5,25.636507640407093
237,238.0,14,16,13,35,"sports, science, literature",4.0,3.25,21.42063345906991
238,239.0,14,29,14,13,literature,7.25,3.5,17.64431526540119
239,240.0,10,29,15,30,science,7.25,3.75,23.59728965816884
240,241.0,10,29,12,13,science,7.25,3.0,17.64431526540119
241,242.0,11,30,19,40,literature,7.5,4.75,27.401157071781125
242,243.0,12,18,14,49,literature,4.5,3.5,26.92731850061178
243,244.0,15,16,8,36,"sports, science",4.0,2.0,21.770808423350363
244,245.0,15,16,14,37,science,4.0,3.5,22.120983387630815
245,246.0,15,20,14,34,"sports, literature",5.0,3.5,22.278929578020595
246,247.0,15,18,19,26,"sports, science, literature",4.5,4.75,18.873294322161428
247,248.0,13,30,14,15,sports,7.5,3.5,18.64678296476987
248,249.0,11,12,5,16,"sports, literature",3.0,1.25,13.55883805451023
249,250.0,10,24,6,14,"sports, literature",6.0,1.5,16.483901375642724
250,251.0,13,14,18,13,science,3.5,4.5,13.112548703284446
251,252.0,14,19,7,24,science,4.75,1.75,18.47506216440831
252,253.0,11,15,12,48,"sports, science, literature",3.75,3.0,25.670790223907982
253,254.0,14,20,13,26,literature,5.0,3.25,19.477529863776994
254,255.0,10,29,5,42,sports,7.25,1.25,27.799389229534242
255,256.0,13,13,5,26,literature,3.25,1.25,17.362705468122513
256,257.0,10,29,7,24,science,7.25,1.75,21.49623987248614
257,258.0,11,10,11,18,"science, literature",2.5,2.75,13.654952441455565
258,259.0,10,17,13,23,"sports, science",4.25,3.25,17.520651658512293
259,260.0,11,14,14,20,"sports, science, literature",3.5,3.5,15.563773453247597
260,261.0,11,11,17,45,literature,2.75,4.25,23.411794247835502
261,262.0,11,26,12,30,"sports, science, literature",6.5,3.0,22.69093634574549
262,263.0,14,25,14,29,"sports, literature",6.25,3.5,22.038643610657257
263,264.0,13,14,5,13,"science, literature",3.5,1.25,13.112548703284446
264,265.0,11,30,11,50,"sports, science, literature",7.5,2.75,30.902906714585622
265,266.0,15,15,18,26,literature,3.75,4.5,17.96694100973808
266,267.0,12,24,7,38,literature,6.0,1.75,24.888100518373527
267,268.0,13,12,13,32,"sports, science",3.0,3.25,19.16163748299743
268,269.0,10,19,14,41,sports,4.75,3.5,24.42803655717596
269,270.0,13,19,5,29,"science, literature",4.75,1.25,20.225936985810563
270,271.0,11,30,17,25,"sports, science, literature",7.5,4.25,22.14853260757437
271,272.0,15,22,16,33,"science, literature",5.5,4.0,22.53299015535571
272,273.0,10,26,11,14,"sports, literature",6.5,2.75,17.08813691725829
273,274.0,13,25,13,17,"sports, science, literature",6.25,3.25,17.83654403929186
274,275.0,14,25,17,26,"sports, science",6.25,4.25,20.988118717815908
275,276.0,14,27,14,30,"sports, science",6.75,3.5,22.993054116553274
276,277.0,12,27,9,36,science,6.75,2.25,25.094103902235975
277,278.0,11,15,5,48,"sports, science, literature",3.75,1.25,25.670790223907982
278,279.0,14,16,16,48,"sports, science, literature",4.0,4.0,25.97290799471576
279,280.0,12,12,7,21,"sports, literature",3.0,1.75,15.309712875912481
280,281.0,15,18,6,47,literature,4.5,1.5,26.22696857205088
281,282.0,12,27,19,42,"science, literature",6.75,4.75,27.195153687918676
282,283.0,11,24,16,35,"sports, literature",6.0,4.0,23.837575625532175
283,284.0,11,12,12,21,sports,3.0,3.0,15.309712875912481
284,285.0,12,23,5,13,science,5.75,1.25,15.83160864055449
285,286.0,14,16,13,19,literature,4.0,3.25,15.817834030582713
286,287.0,12,24,14,26,science,6.0,3.5,20.686000947008125
287,288.0,13,23,7,13,"sports, literature",5.75,1.75,15.83160864055449
288,289.0,10,29,16,48,science,7.25,4.0,29.90043901521694
289,290.0,13,21,6,39,sports,5.25,1.5,24.331922170230627
290,291.0,10,24,9,44,literature,6.0,2.25,26.989150304056228
291,292.0,10,18,7,36,sports,4.5,1.75,22.37504396496593
292,293.0,15,12,20,34,sports,3.0,5.0,19.86198741155833
293,294.0,13,14,8,28,science,3.5,2.0,18.365173167491196
294,295.0,11,23,18,42,"sports, science, literature",5.75,4.5,25.986682604687545
295,296.0,14,17,9,15,sports,4.25,2.25,14.719251944268693
296,297.0,13,13,14,17,literature,3.25,3.5,14.211130789598464
297,298.0,15,12,19,14,"sports, science",3.0,4.75,12.85848812594933
298,299.0,14,26,15,16,"sports, science, literature",6.5,3.75,17.78848684581919
299,300.0,12,29,9,42,"sports, science",7.25,2.25,27.799389229534242
300,301.0,15,15,9,50,literature,3.75,2.25,26.371140152468882
301,302.0,14,23,10,29,science,5.75,2.5,21.43440806904169
302,303.0,13,11,20,12,"sports, literature",2.75,5.0,11.856020426580647
303,304.0,11,26,10,30,"science, literature",6.5,2.5,22.69093634574549
304,305.0,13,26,15,20,"sports, literature",6.5,3.75,19.18918670294099
305,306.0,14,17,13,38,"science, literature",4.25,3.25,22.773276122719047
306,307.0,12,17,9,24,sports,4.25,2.25,17.870826622792745
307,308.0,12,24,5,10,science,6.0,1.25,15.083201518520923
308,309.0,13,15,7,42,science,3.75,1.75,23.56974043822528
309,310.0,10,29,20,50,"sports, literature",7.25,5.0,30.60078894377784
310,311.0,11,20,11,15,science,5.0,2.75,15.625605256692042
311,312.0,10,14,14,35,"sports, science",3.5,3.5,20.81639791745435
312,313.0,11,18,8,25,literature,4.5,2.0,18.52311935788098
313,314.0,13,27,6,24,science,6.75,1.5,20.892004330870574
314,315.0,13,17,12,18,science,4.25,3.0,15.769776837110044
315,316.0,14,12,13,14,"sports, literature",3.0,3.25,12.85848812594933
316,317.0,12,11,16,49,sports,2.75,4.0,24.812494104957302
317,318.0,10,29,13,28,"sports, science",7.25,3.25,22.89693972960794
318,319.0,12,25,18,38,literature,6.25,4.5,25.19021828918131
319,320.0,13,11,15,46,"sports, science, literature",2.75,3.75,23.76196921211595
320,321.0,14,24,17,38,"sports, literature",6.0,4.25,24.888100518373527
321,322.0,15,24,13,31,science,6.0,3.25,22.436875768410374
322,323.0,10,15,19,30,"sports, science, literature",3.75,4.75,19.36764086685988
323,324.0,12,30,6,35,sports,7.5,1.5,25.650282250378872
324,325.0,15,13,18,44,science,3.25,4.5,23.665854825170616
325,326.0,13,10,20,41,science,2.5,5.0,21.70897661990592
326,327.0,12,27,17,12,science,6.75,4.25,16.689904759505172
327,328.0,10,19,9,38,"sports, science, literature",4.75,2.25,23.377511664334612
328,329.0,15,28,5,12,"sports, science, literature",7.0,1.25,16.992022530312955
329,330.0,15,13,8,12,literature,3.25,2.0,12.460255968196213
330,331.0,10,10,9,39,science,2.5,2.25,21.008626691345018
331,332.0,15,18,5,11,literature,4.5,1.25,13.620669857954677
332,333.0,13,17,15,32,"sports, literature",4.25,3.75,20.672226337036346
333,334.0,10,18,19,49,science,4.5,4.75,26.92731850061178
334,335.0,11,14,10,30,science,3.5,2.5,19.065523096052097
335,336.0,15,18,14,15,sports,4.5,3.5,15.021369715076476
336,337.0,10,15,13,37,science,3.75,3.25,21.818865616823032
337,338.0,15,23,15,29,"science, literature",5.75,3.75,21.43440806904169
338,339.0,14,16,10,19,science,4.0,2.5,15.817834030582713
339,340.0,14,12,20,11,science,3.0,5.0,11.80796323310798
340,341.0,10,26,9,24,science,6.5,2.25,20.58988656006279
341,342.0,10,29,18,17,science,7.25,4.5,19.04501512252299
342,343.0,10,26,7,39,literature,6.5,1.75,25.84251102426954
343,344.0,12,11,10,21,"science, literature",2.75,2.5,15.007595105104699
344,345.0,11,20,11,36,"sports, literature",5.0,2.75,22.979279506581495
345,346.0,10,26,18,22,sports,6.5,4.5,19.88953663150189
346,347.0,14,19,5,44,"science, literature",4.75,1.25,25.478561450017313
347,348.0,12,23,18,16,"sports, science, literature",5.75,4.5,16.88213353339584
348,349.0,10,10,7,23,"science, literature",2.5,1.75,15.405827262857814
349,350.0,12,10,8,47,"sports, science",2.5,2.0,23.81002640558862
350,351.0,12,23,20,33,"science, literature",5.75,5.0,22.83510792616349
351,352.0,10,15,18,16,literature,3.75,4.5,14.46519136693358
352,353.0,12,14,14,13,literature,3.5,3.5,13.112548703284446
353,354.0,15,28,5,19,"science, literature",7.0,1.25,19.443247280276104
354,355.0,10,20,12,30,"sports, science, literature",5.0,3.0,20.878229720898794
355,356.0,13,20,11,27,sports,5.0,2.75,19.827704828057442
356,357.0,10,15,7,30,"sports, science",3.75,1.75,19.36764086685988
357,358.0,13,15,16,41,"science, literature",3.75,4.0,23.219565473944833
358,359.0,15,23,12,11,science,5.75,3.0,15.13125871199359
359,360.0,10,25,10,20,"sports, science",6.25,2.5,18.887068932133207
360,361.0,15,30,10,37,sports,7.5,2.5,26.350632178939772
361,362.0,15,18,16,22,"sports, science, literature",4.5,4.0,17.472594465039627
362,363.0,13,10,18,42,sports,2.5,4.5,22.059151584186367
363,364.0,12,30,18,42,science,7.5,4.5,28.101507000342025
364,365.0,12,25,12,29,"science, literature",6.25,3.0,22.038643610657257
365,366.0,13,17,19,11,"sports, literature",4.25,4.75,13.318552087146895
366,367.0,13,15,14,15,science,3.75,3.5,14.11501640265313
367,368.0,13,20,16,30,"sports, science",5.0,4.0,20.878229720898794
368,369.0,15,30,17,48,"science, literature",7.5,4.25,30.202556786024722
369,370.0,11,30,13,11,science,7.5,3.25,17.24608310764807
370,371.0,14,22,18,37,science,5.5,4.5,23.93369001247751
371,372.0,14,11,14,39,"sports, science, literature",2.75,3.5,21.3107444621528
372,373.0,14,23,17,49,"science, literature",5.75,4.25,28.437907354650694
373,374.0,15,28,13,15,science,7.0,3.25,18.042547423154303
374,375.0,14,25,13,13,"sports, science",6.25,3.25,16.435844182170058
375,376.0,15,24,14,15,science,6.0,3.5,16.834076339923172
376,377.0,12,23,20,22,science,5.75,5.0,18.98318331907854
377,378.0,12,18,15,42,literature,4.5,3.75,24.47609375064863
378,379.0,13,24,6,22,science,6.0,1.5,19.285301089886325
379,380.0,12,19,16,47,"sports, literature",4.75,4.0,26.529086342858662
380,381.0,13,20,5,46,literature,5.0,1.25,26.481029149385993
381,382.0,10,11,10,50,"sports, science, literature",2.75,2.5,25.16266906923775
382,383.0,15,20,9,22,science,5.0,2.25,18.076830006655193
383,384.0,12,11,10,34,"sports, science",2.75,2.5,19.55986964075055
384,385.0,11,14,12,27,science,3.5,3.0,18.014998203210745
385,386.0,13,28,19,10,literature,7.0,4.75,16.291672601752055
386,387.0,15,18,18,10,"science, literature",4.5,4.5,13.270494893674227
387,388.0,10,26,10,18,"science, literature",6.5,2.5,18.48883677438009
388,389.0,15,10,14,47,"sports, literature",2.5,3.5,23.81002640558862
389,390.0,12,11,11,47,science,2.75,2.75,24.112144176396402
390,391.0,11,14,17,44,science,3.5,4.25,23.9679725959784
391,392.0,13,28,13,40,science,7.0,3.25,26.79692153016556
392,393.0,14,29,8,32,sports,7.25,2.0,24.29763958672974
393,394.0,10,29,13,44,science,7.25,3.25,28.499739158095142
394,395.0,14,27,12,43,literature,6.75,3.0,27.545328652199125
395,396.0,15,19,6,12,"sports, science",4.75,1.5,14.272962593042909
396,397.0,11,22,17,34,literature,5.5,4.25,22.88316511963616
397,398.0,10,10,5,32,"sports, literature",2.5,1.25,18.557401941381865
398,399.0,11,29,19,48,literature,7.25,4.75,29.90043901521694
399,400.0,13,30,10,33,"sports, science",7.5,2.5,24.949932321817972
